clade_name	WT_M_14w	WT_M_14w	WT_M_22w	WT_M_22w	WT_M_14w	WT_M_14w	WT_M_14w	WT_M_14w	WT_M_14w	WT_M_22w	WT_M_14w	WT_M_22w	WT_M_14w	WT_M_22w	WT_F_22w	WT_F_22w	WT_F_14w	WT_F_22w	WT_F_14w	WT_F_14w	WT_F_14w	WT_F_22w	WT_F_14w	WT_F_22w	WT_F_14w	WT_F_14w	WT_F_22w	WT_F_22w	WT_F_14w	W_M_22w	W_M_22w	W_M_14w	W_M_14w	W_M_14w	W_M_22w	W_M_14w	W_M_22w	W_M_14w	W_M_14w	W_M_22w	W_M_14w	W_M_22w	W_M_14w	W_M_22w	W_M_22w	W_F_14w	W_F_14w	W_F_22w	W_F_14w	W_F_22w	W_F_14w	W_F_14w	W_F_22w	W_F_14w	W_F_22w	W_F_14w	W_F_22w	W_F_22w	W_F_14w	P_M_22w	P_M_14w	P_M_22w	P_M_14w	P_M_14w	P_M_22w	P_M_14w	P_M_14w	P_M_22w	P_M_22w	P_M_22w	P_M_14w	P_M_22w	P_M_14w	P_M_22w	P_F_22w	P_F_22w	P_F_14w	P_F_22w	P_F_14w	P_F_14w	P_F_14w	P_F_22w	P_F_14w	P_F_22w	P_F_22w	P_F_14w	P_F_14w	P_F_22w	P_F_22w	C_M_22w	C_M_14w	C_M_14w	C_M_22w	C_M_22w	C_M_14w	C_M_22w	C_M_14w	C_M_14w	C_M_14w	C_M_22w	C_M_14w	C_M_22w	C_M_14w	C_M_22w	C_F_22w	C_F_14w	C_F_22w	C_F_22w	C_F_14w	C_F_14w	C_F_14w	C_F_22w	C_F_14w	C_F_14w	C_F_22w	C_F_14w	C_F_22w	B_M_22w	B_M_14w	B_M_14w	B_M_22w	B_M_14w	B_M_22w	B_M_22w	B_M_22w	B_M_14w	B_M_22w	B_M_14w	B_M_14w	B_M_22w	B_M_14w	B_M_22w	B_F_22w	B_F_14w	B_F_22w	B_F_22w	B_F_14w	B_F_14w	B_F_22w	B_F_14w	B_F_14w	B_F_22w	B_F_14w	B_F_22w	B_F_14w	B_F_22w
Bacteroides_sartorii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64105	0	0	0	0	0	0	0	0	0	0	3251321	0	0	68941	0	0	0	0	1856323	0	0	0	0	0	0	0	0	0	2755987	0	3282846	0	0	2762635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5010181	0	0	0	0	0	0	0	0	0	0	0	270006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_stercorirosoris	0	0	0	0	0	0	0	0	0	0	0	25011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278569	0	116003	0	0	0	0	1013729	0	29298	0	0	0	0	0	0	0	0	909459	0	0	587720	185147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74315	0	113008	0	0	0	0	0	0	0	232433	0	0	0	0	0	0	0	0	0	0	0	84312	0	0	0	0	0	0	0	0	0	0	1915267	0	0	0	0	0	0	0	0	0	762596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252307	0	0	729539	0	0	0	0	0	0	0	0	0	852307
Bacteroides_thetaiotaomicron	0	0	230517	0	0	498885	236662	236662	498060	161970	0	23978	0	58275	0	306165	0	726442	550673	0	0	0	0	1128733	0	1208483	1362091	324602	0	482	5478984	0	0	0	0	0	0	0	0	0	0	0	0	0	3406263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213437	121208	0	0	0	0	0	4956636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1046052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_uniformis	1255294	2182971	1011944	965302	1184623	1839872	929402	929402	2316707	745571	879915	291723	545350	258504	799138	327019	744192	1431385	1712188	4259089	5234094	419426	8427748	5534973	1361579	511104	5271379	1474221	4036640	137	2348094	0	0	0	1026328	0	390337	0	0	30871	308	959359	0	300725	2195240	0	0	0	0	0	0	0	0	0	0	0	228590	0	0	1231498	0	1408656	0	0	1241799	0	0	369	0	0	0	868955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10960804	0	0	246465	0	11560	2866391	1034575	671856	0	0	0	839825	0	4601750	0	0	0	0	0	0	0	0	0	0	0	0	0	1708585	0	0	0	0	0	0	998366	513	969667	0	0	0	80529	0	1156546	3411292	3765599	2242670	8172868	241053	672983	1839518	2153633	1587855	4560749	320450	2059865	1919331
Bacteroides_vulgatus	0	0	0	8367892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	943	4622342	0	0	0	0	0	0	0	0	693	0	398084	0	0	7351655	0	0	120	0	71458	0	0	0	0	0	0	229	0	0	158842	0	5107562	0	0	164556	0	0	0	0	0	0	0	0	0	0	101	0	3677	0	0	0	0	0	888	0	0	0	0	0	0	0	0	0	0	0	11137766	0	0	0	0	0	7823614	0	0	0	0	0	0	0	0	0	0	0	0	995	0	0	0	0	0	356	0	0	0	4304536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_xylanisolvens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66762	8073	0	0	0	0	0	69771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Muribaculaceae_bacterium_DSM_103720	2900491	6497723	1253797	783947	3650514	3561519	1281667	1281667	2049360	730808	740722	258223	3574882	30539	744571	161209	4537269	1521451	3514136	1370500	5405014	1250908	2730387	2528112	2862543	4151692	4028580	1947177	5538936	1154080	139548	728782	1738152	1080810	241090	1149159	330150	794684	917594	1421960	902898	91348	1350059	503130	267620	1313874	1252165	756766	2876510	1445701	789636	1056780	1705601	1530356	355115	1353743	460839	329146	1056585	259545	442373	130113	154019	264231	267567	340965	1274315	64913	531098	323269	1453467	419751	383154	137237	279865	357320	1222018	398985	1328462	1164854	5017359	570290	661436	624400	636222	362127	509716	1346567	1416228	4953021	3874469	1607044	109576	738083	1003036	317	1779684	1696164	1959187	4475540	1992762	2316525	2593039	1310201	201569	803409	329285	5278923	149142	43498	81620	512120	769714	693599	5155782	286718	880895	274370	987181	1615206	360020	1079044	358205	86895	155631	699379	320718	1012787	411678	9510	133854	52987	1005108	930512	396271	432582	1182912	2302100	199406	738551	992418	1169725	1163060	99778	896282	119115
Muribaculum_intestinale	1771179	2842017	770553	876260	675340	797519	574470	574470	629365	492294	684691	131	2642135	251832	494923	125838	1076744	687798	1860668	1025275	2902911	72692	4085340	463690	1417466	1006887	2294805	430436	2946504	1385750	606355	1740121	2724013	1010697	1682487	2288087	2849241	2323667	1500298	1210999	2161503	1197874	676608	1491724	1703582	1226983	1815201	1264080	472723	1307822	2537103	6089449	3714247	5038273	8077856	7253931	959877	555764	3279573	1362871	1700972	9769	1330704	731305	1230517	2107467	1713759	134	1048932	4499	1460665	1714982	1057967	3869653	566536	552388	3337241	378690	3530621	2266805	5975031	1651410	2595885	3165644	1520515	1089148	1230087	4851979	1044281	5097006	2111714	1530364	1298225	1810358	407197	52374	749337	788308	964457	3400942	708790	3074371	1384474	3298432	216508	444384	14076216	4384091	1131912	1525512	613785	601262	2005051	2391988	3613081	824024	1127477	5098173	9746781	4671312	2602094	3027793	1653934	3270268	202844	5772588	1465561	3997136	4030499	363192	1151025	568488	863593	3558737	5179527	2045014	5218066	4548302	266511	4551198	3840483	976883	3362549	317738	4303986	3169270
Butyricimonas_synergistica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Butyricimonas_virosa	0	0	0	0	0	0	0	0	0	0	0	2083026	0	0	0	1437435	0	0	0	0	0	0	0	2522	0	0	0	0	0	0	1703304	0	0	0	0	0	0	0	0	0	0	0	0	0	2412940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1649173	0	911258	0	0	1456065	0	0	0	3849462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1573260	0	0	1473910	0	0	649748	0	0	0	0	0	2222761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	840743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
