B	C	WT
B9d1	12.0071336002299	11.287480845872	12.5157137609118
Sec24b	139.661668972401	132.186447247338	125.908650050271
N4bp3	1.8559657957402	1.65539726379775	1.67163319999697
Rmnd5b	13.6948740718667	14.7219745110749	13.6351504122142
Nhp2	15.0975731794156	14.9860894476537	15.9357352384543
Vps9d1	63.0441426277201	61.8434756692134	57.3590315554317
Zfp276	58.6541659341223	58.563520418942	50.7008458192681
C1ql4	0.00548622820948127	0.00529161931813129	0.0059537135125274
Mfsd10	45.4554904798026	53.2244098376581	47.0836560463784
Luzp1	30.8153510239049	25.8686384640995	25.6471346126213
Slc13a2	6.95161350457706	7.18734742544832	6.70814531051014
Kctd10	45.8661689369756	46.8681145412056	43.1871034580869
Poldip2	67.2385033444211	76.422236734028	71.3371898621941
Sebox	0.00997701200790216	0.00597599121322222	0
Ift20	17.4520463900682	14.9781753981269	15.8599527310292
Col6a1	42.6241086214527	36.7684391919235	29.432194222906
Pcbp3	0.491055839823799	0.394527512012942	0.497782968842408
Lgals9	60.993863590367	60.8016142803961	37.4776352043251
Araf	121.722656975121	116.616894739987	109.159623481976
Cfp	10.8108907319047	12.1187149113889	11.1766907058049
Timp1	0.47892965472026	0.36385090558666	0.390782959305529
Uxt	37.2672411779985	35.0851864677237	42.2611938551406
Cnnm3	28.8410773764093	30.8009766193787	29.1945497938695
Lman2l	20.2939532859134	20.1648880396527	18.8134382560802
Mcm3ap	75.7434067786465	68.215047655458	62.991880374892
Pcnt	43.1554908031015	40.1314868211636	36.3215384092924
Ftcd	0.0890565772195369	0.113960643077962	0.0791027333426758
Mxd1	271.861294304491	157.525649610779	209.674763759985
Gmcl1	15.8110032185777	16.3136021534546	16.1377037731713
Snrnp27	35.2860652740294	35.6899049159743	37.8556675296838
Oas1c	0.97546316716568	1.02490838487479	0.829416270005615
Oas1h	0.341745430026719	0.287692698768802	0.21705946307362
Ocrl	61.8952561833181	53.6011685286374	52.1409631863918
Calm1	1801.22006586081	1644.05300409798	1846.34076180826
