	Compounds	WT_14w	WT_22w	C_14w	C_22w	B_14w	B_22w	W_14w	W_22w	P_14w	P_22w	HMDB	kegg_map
21	2,5-Dihydroxybenzaldehyde	2.92430955658984	2.30258509299405	9.87745373644896	3.36929145308881	13.8208340798002	14.3522978352922	10.8701859258593	11.3245428862871	3.30822803578118	3.3800635628562	HMDB0004062	ko00350,ko01100
22	2,5-Dihydroxybenzoic acid	12.8004102296868	12.4085078838631	12.5881757959355	12.1609736710746	18.3822361249851	18.7004216630108	14.2176653960937	14.2753031350889	12.9774802554367	13.3139246907097	HMDB0000152	ko00350,ko01100
23	2,5-Furandicarboxylicacid	11.7120769055777	11.5012928378377	11.6141327566818	11.6126077287536	11.926582671516	11.2584007351168	11.5018790098496	11.2225054307745	11.3781185258803	11.6081387969828	HMDB0004812	-
24	3-(3-Hydroxyphenyl)-3-hydroxypropanoic acid	3.29605577920637	6.20104389033115	2.30258509299405	3.30129403032303	11.9170581871652	12.6233778030442	11.700773684744	11.7575280842309	10.8879643517501	11.1651402538585	HMDB0002643	-
25	3-(3-Hydroxyphenyl)Propionate Acid	11.7869986477414	12.765454274549	12.5959038068189	12.7193398180884	14.9872165935492	16.3610040320361	15.6253789082136	15.7464917396473	14.279495038438	14.8820201928134	HMDB0000375	ko00360,ko01100
26	3-(4-Hydroxyphenyl)-Propionic Acid	16.9223582955107	17.0997655373382	16.7877334717197	17.0729892328829	16.8970840667964	16.9625848288943	16.9973074936333	17.0269382971884	17.0728102146732	17.1244950622495	HMDB0002199	-
27	3-Hydroxyanthranilic Acid	13.5795463186865	13.6060803973353	13.3560566755174	13.7163398765674	13.5766016321022	13.7977272221293	13.8295211347672	13.989917340413	13.5523465643606	14.1748714186546	HMDB0001476	ko00380,ko01100,ko01240
28	3-Hydroxybenzoic Acid	16.3370111949644	16.466143300494	16.3940009396004	16.103745577984	16.7686527761484	16.7879076282082	16.2272493123357	16.4200566159231	15.9556433549839	16.3745067892808	HMDB0002466	ko00400
29	3-Hydroxycinnamic acid	13.5038681899254	13.1439951551863	13.365373846371	13.3558323190726	13.709869641478	14.1335507692807	14.6763381558114	14.8192854546053	13.2418970703372	13.6384678105422	HMDB0001713	-
30	3-Indolepropionic Acid	13.3894278358464	14.3534103610835	12.8953232896697	13.8243387170809	13.8241666675967	14.6932055304783	14.0260240103944	14.5365520387952	13.7535999553571	14.4558192450414	HMDB0002302	-
31	3 alpha,7 alpha,26-Trihydroxy-5beta-cholestane	8.18137472885658	2.99598422474111	7.65854936296877	7.57177281720786	11.7710001364677	6.8085581173673	11.2477248258077	7.84238684400194	11.1952585111517	7.51722761980392	HMDB0012455	-
32	3a-Hydroxy-5b-pregnane-20-one	13.4994522738255	13.2928042669375	13.6584520265645	13.2293404150967	13.3385930534995	12.7417146374175	12.3352254579584	12.6850758304049	9.0738495437291	12.8734974426262	HMDB0006759	-
33	4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoic acid	13.0053700968035	12.7837874491862	13.3675353971199	12.706010781775	15.241697749824	14.7877624989657	15.415490432222	14.9805874179365	14.6828418848453	14.6581376135164	HMDB0004083	ko00380
34	4-(2-Aminophenyl)-2,4-dioxobutanoic acid	2.30258509299405	2.30258509299405	2.75603650092506	3.63855529906499	13.7930772399901	13.8490250319456	14.1533857202879	14.1279518851611	12.0688155457129	12.6173770663288	HMDB0000978	ko00380,ko01100
35	4-acetoxyphenol	16.7360875610612	16.9680184971228	16.6511093021736	17.4390898484245	16.5776839635261	16.9794041661864	17.090849164646	17.2658397035624	17.0659680710886	17.9051999102524	-	ko01100
36	4-Amino-4-deoxychorismate	10.7204257139853	3.58359231613709	7.74370975321072	7.31187056652044	7.92172855070411	11.6641180466592	11.3646279965473	10.5611249861903	6.76231580318095	7.32087482838893	-	ko00790,ko01240
37	4-Hydroxy-3-methoxybenzaldehyde	11.9309917365154	11.8660763390897	11.901606409492	12.0629162867167	13.5996478858128	14.0777346049443	13.063498732741	13.5100658659704	12.3774651587038	12.884690440056	HMDB0012308	ko01100
