clade_name	WT_M_3_1	WT_M_3_2	WT_M_3_3	WT_M_3_4	WT_M_3_5	WT_M_3_6	WT_M_1_5	WT_M_1_4	WT_M_1_3	WT_M_1_2	WT_F_3_1	WT_F_3_2	WT_F_3_3	WT_F_3_4	WT_F_3_5	WT_F_3_6	WT_F_3_7	WT_F_3_8	WT_F_1_5	WT_F_1_4	WT_F_1_3	WT_F_1_2	WT_F_1_1	W_M_3_8	W_M_3_7	W_M_3_6	W_M_3_5	W_M_3_4	W_M_3_3	W_M_3_2	W_M_3_1	W_M_1_8	W_M_1_7	W_M_1_6	W_M_1_5	W_M_1_4	W_M_1_3	W_M_1_2	W_M_1_1	W_F_3_8	W_F_3_7	W_F_3_6	W_F_3_5	W_F_3_4	W_F_3_3	W_F_3_2	W_F_3_1	W_F_1_8	W_F_1_6	W_F_1_5	W_F_1_4	W_F_1_3	W_F_1_2	W_F_1_1	P_M_3_8	P_M_3_7	P_M_3_6	P_M_3_5	P_M_3_4	P_M_3_3	P_M_3_2	P_M_3_1	P_M_1_8	P_M_1_7	P_M_1_6	P_M_1_5	P_M_1_4	P_M_1_3	P_M_1_2	P_M_1_1	P_F_3_8	P_F_3_7	P_F_3_6	P_F_3_5	P_F_3_4	P_F_3_3	P_F_3_2	P_F_1_7	P_F_1_6	P_F_1_5	P_F_1_4	P_F_1_3	P_F_1_2	P_F_1_1	C_M_1_1	C_M_1_2	C_M_1_3	C_M_1_4	C_M_1_5	C_M_1_6	C_M_1_7	C_M_1_8	C_M_1_9	C_M_1_10	C_M_1_11	C_M_1_12	C_F_1_1	C_F_1_2	C_F_1_3	C_F_1_4	C_F_1_5	C_F_1_6	C_F_1_7	C_F_1_8	C_F_1_9	C_F_1_10	C_F_1_11	C_F_1_12	C_F_1_13	C_F_1_14	B_M_3_6	B_M_3_4	B_M_3_3	B_M_3_2	B_M_3_1	B_M_1_1	B_M_1_2	B_M_1_3	B_M_1_4	B_M_1_5	B_M_1_6	B_M_1_7	B_M_1_8	B_M_1_9	B_M_1_10	B_M_1_11	B_M_1_12	B_F_3_8	B_F_3_7	B_F_3_6	B_F_3_5	B_F_3_4	B_F_3_3	B_F_3_2	B_F_3_1	B_F_1_1	B_F_1_2	B_F_1_3	B_F_1_4	B_F_1_5	B_F_1_6	B_F_1_7	B_F_1_8	B_F_1_9	B_F_1_10	B_F_1_11	C_M_3_1	C_M_3_2	C_M_3_3	C_M_3_4	C_M_3_5	C_M_3_6	C_M_3_7	C_M_3_8	C_F_3_1	C_F_3_2	C_F_3_3	C_F_3_4	C_F_3_5	C_F_3_6	C_F_3_7	C_F_3_8
Olsenella_scatoligenes	0.00427	0.00312	0.00685	0.00458	0.00066	0.01287	0.01154	0.00952	0.00132	0.00256	0.00242	0.00736	0.00721	0.00427	0	0.00883	0.01126	0.00248	0	0	0.00407	0.00529	0	0	0	0.00063	0	0	0.00348	0	0.00953	0.00552	0.01104	0.00127	0.00468	0.01796	0.02672	0.00395	0.00895	0.00457	0.00597	0.00203	0.00407	0.00061	0.0019	0	0.00466	0.01198	0.02708	0.00784	0.03877	0.02651	0.02361	0.00633	0.00122	0.00262	0.00609	0	0.00156	0.0005	0.00126	0.00231	0.00081	0.00538	0.00282	0.00261	0.00334	0	0.00041	0	0.00041	0	0	0.00023	0.00327	0	0.00264	0.00064	0	0.00388	0	0.00028	0.00426	0.00704	0.03807	0.01362	0.01991	0.01993	0.02436	0.04637	0.00844	0.01336	0.04262	0.01566	0.00918	0.00855	0.01494	0.01143	0.03472	0.00928	0.07755	0.00806	0.05924	0.00835	0.06557	0.00381	0.00648	0.01277	0.03177	0.00402	0	0.00016	0	0.00064	0	0.00233	0	0	0	0	0.00329	0	0.00381	0.00137	0.00323	0	0.00161	0	0	0	0	0	0	0	0	0.00053	0.00455	0	0	0.00073	0.00134	0	0.00054	0.00287	0.00167	0.00295	0.04885	0.10343	0.01599	0.00692	0.01119	0.02064	0.01036	0.00662	0.00663	0.0128	0.00502	0.02903	0.00254	0.01295	0.02056	0.00877
Collinsella_aerofaciens	0.0013	0	0.00152	0.00052	0	0	0	0	0	0.00042	0	0	0.00071	0	0	0.00122	0.00088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00146	0	0	0.00148	0.00387	0	0	0.00353	0	0	0.00365	0	0	0	0	0.00073	0.00206	0	0.0054	0.00257	0.00284	0	0	0	0	0	0	0	0	0	0	0.00052	0	0	0	0	0	0	0	0	0	0	0	0	0.00183	0	0	0.00059	0	0	0.00087	0	0.00439	0	0	0.00225	0.00116	0.00139	0.00046	0.00232	0.00473	0.00271	0.00226	0.00029	0.00188	0.0007	0.0024	0	0.00689	0.00068	0.00218	0.00208	0.00431	0.00065	0	0.00251	0.00154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00052	0.00029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00662	0.01024	0.00224	0	0	0.00245	0.00133	0	0.00181	0.00084	0	0.00604	0	0.00149	0.00262	0
Collinsella_intestinalis	0.00028	0.00036	0	0	0	0	0	0.00103	0	0	0	0.00135	0.00121	0	0	0.00051	0.00077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00199	0.00082	0	0	0	0.00065	0	0	0	0	0	0	0	0	0	0.00174	0.00169	0.00041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00048	0.00189	0	0	0.00096	0.0029	0.00435	0.00053	0.00152	0.00403	0.00131	0	0	0.00158	0.00031	0.00163	0.00255	0.00453	0.00114	0.00903	0	0.00265	0	0	0	0.00292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00036	0	0	0	0	0	0	0	0	0	0.00079	0.00735	0.00145	0	0.00051	0.00059	0.00161	0.00039	0.00022	0.00071	0	0.00207	0	0.00082	0.00143	0
Collinsella_stercoris	0	0	0.00078	0	0	0.00454	0.00208	0.0031	0	0.00023	0.00065	0.00164	0.00097	0.00062	0	0.00034	0.00103	0.00134	0	0	0.00265	0	0	0	0	0	0	0	0	0	0	0	0.00835	0	0	0.00079	0.00269	0	0	0	0	0	0	0	0	0	0	0.00081	0.00308	0.00149	0.00911	0.00343	0.00426	0.00118	0	0	0	0	0	0	0	0	0	0.00052	0	0	0	0	0	0	0	0	0	0	0.00159	0	0	0.0004	0	0.00272	0	0	0.00138	0.00122	0.00973	0.00079	0.00278	0.00601	0.00616	0.00427	0.00392	0.00471	0.00931	0.00175	0.00074	0.00116	0.00983	0.00231	0.0121	0.00094	0.01094	0.0011	0.01344	0.00039	0.01096	0	0	0.00086	0.00462	0	0	0	0	0	0	0.00014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00112	0	0	0	0	0	0	0	0	0.0003	0.00377	0.01989	0.00543	0.00385	0.00362	0.00228	0.00094	0.00301	0.00058	0.0031	0.00238	0.00803	0	0.00182	0.00513	0.00196
Collinsella_massiliensis	0.00393	0.00299	0.00653	0.00318	0.00084	0.01232	0.00946	0.00912	0.00223	0.00363	0.00453	0.00966	0.01069	0.00598	0.00036	0.00533	0.01173	0.00338	0	0	0.00418	0.00905	0	0	0	0.00202	0.00126	0	0.00236	0	0.00821	0.00176	0.0088	0.00054	0.00311	0.01183	0.01768	0.00164	0.009	0.00097	0.00506	0.00177	0.00253	0	0.00242	0.00087	0.00229	0.0145	0.02094	0.00602	0.02736	0.01698	0.01731	0.00535	0.00068	0.00569	0.00485	0	0	0	0	0.00435	0.00344	0.00435	0.001	0.00066	0.00287	0	0.00024	0	0	0	0.00026	0	0.00524	0	0.00343	0.00058	0.00034	0.00237	0	0	0.00241	0.00561	0.04105	0.01155	0.0133	0.01831	0.028	0.03821	0.0071	0.00849	0.0389	0.01045	0.01215	0.00859	0.01577	0.01093	0.02528	0.01262	0.0601	0.00565	0.06524	0.00309	0.05272	0.00247	0.01062	0.00824	0.02905	0.0006	0	0.00073	0	0.0015	0.00031	0.00271	0	0	0	0	0.00241	0	0.00315	0.00125	0.00163	0	0.00275	0.0002	0.00128	0	0.00013	0	0	0	0	0.00172	0.00368	0	0	0.00085	0.00245	0.00084	0.00038	0	0.00094	0.00414	0.03129	0.09116	0.01437	0.00524	0.00674	0.01699	0.00973	0.00602	0.0053	0.01344	0.00924	0.0296	0.00275	0.00988	0.01951	0.00898
Enorma_massiliensis	0.00053	0.00033	0.00472	0.00079	0	0.00366	0.00419	0.00605	0.00394	0.00033	0.00136	0	0.00367	0.00328	0	0.00253	0.00379	0	0	0	0.00222	0.00169	0	0	0	0	0	0	0	0	0.0029	0.00038	0.00458	0.00068	0.00137	0.00113	0.00077	0	0.00334	0.00125	0.00249	0	0	0	0.00084	0	0	0.00058	0.00368	0.00226	0.00547	0.00635	0.00216	0.00033	0	0	0.00157	0	0	0	0	0	0	0.00148	0.00056	0	0	0	0	0	0	0	0	0	0	0	0.00036	0	0	0.00149	0	0	0	0.00445	0.01077	0.01122	0.00179	0.00347	0.00501	0.00945	0.0008	0.01064	0.00436	0.00552	0.00198	0.0007	0.00481	0.00074	0.00449	0.0033	0.00952	0.00104	0.02885	0.00107	0.01766	0.00086	0.00039	0.0034	0.00901	0.00088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0006	0	0	0.00053	0	0	0	0	0.00084	0	0.00668	0.01137	0.00134	0.00267	0.00174	0.00107	0.00266	0.0019	0.00038	0.00127	0.00198	0.00407	0	0.00039	0.00326	0.00214
Adlercreutzia_equolifaciens	0.00131	0.00366	0.00141	0.00186	0.00078	0.07118	0.08105	0.07444	0.03137	0.00288	0.00318	0.0042	0.00204	0.00325	0.00396	0.00634	0.00436	0.06661	0.03637	0.05376	0.0179	0.00499	0.01692	0.09129	0.01126	0.02296	0.0141	0.03715	0.03798	0.01105	0.06968	0.01228	0.00108	0.00708	0.01091	0.00101	0.02544	0.017	0.02724	0.01045	0.01409	0.02157	0.01104	0.03209	0.01566	0.11359	0.01823	0.00104	0.00578	0	0.00598	0.00172	0.00208	0.00091	0.00295	0.11446	0.00024	0	0.00252	0.01328	0.00735	0.00684	0.00645	0.01868	0.00818	0.00569	0.00872	0.01886	0.00618	0.0159	0.03118	0.00626	0.00619	0.00369	0.01066	0.00415	0.02413	0.01266	0.00084	0.01755	0.00782	0.00172	0.00994	0.00868	0.00511	0.01526	0.01478	0.00092	0.00895	0.01186	0.00528	0.02269	0.0018	0.01277	0.01945	0.01263	0	0	0.00706	0	0.09379	0.00542	0.00228	0	0.01326	0	0.00075	0	0.00807	0	0.02283	0.05223	0.01744	0.00803	0.01117	0.01611	0.03072	0.0024	0.05715	0.03298	0.00654	0.0068	0.00585	0.13593	0.01903	0.01783	0.02666	0.01079	0.21817	0.08872	0.00372	0.01107	0.01782	0.003	0.00655	0.01841	0.02259	0.02217	0.0395	0.03406	0.01637	0.01504	0.00649	0.0251	0.00605	0.02335	0.00881	0.02787	0.02028	0.00308	0.00549	0.01997	0.01252	0.03189	0.00038	0.00466	0.04123	0.0123	0.01759	0.01385	0.01434	0.00767
Asaccharobacter_celatus	0.00138	0.00201	0.00229	0.00295	0.00081	0.0407	0.03551	0.03621	0.01401	0.00229	0.00388	0.00776	0.00258	0.0042	0.00315	0.00651	0.0051	0.04178	0.03797	0.03506	0.01376	0.00318	0.02093	0.02815	0.00258	0.0081	0.00428	0.00712	0.01186	0.00334	0.02605	0.00538	0.00071	0.00108	0.00397	0.00244	0.00885	0.00679	0.00896	0	0.00358	0.0086	0.00155	0.01102	0.00847	0.04326	0.00661	0.00056	0.00174	0	0.00583	0.00138	0.00141	0.00165	0.00124	0.04898	0.00068	0	0.00021	0.0051	0.00292	0.00381	0.00454	0.00818	0.00361	0.00228	0.0022	0.00876	0.00127	0.00799	0.00925	0.00188	0.00114	0.00195	0.00227	0	0.01061	0.00653	0.00126	0.00566	0.00255	0.00132	0.00293	0.00252	0.00254	0.00579	0.00704	0	0.00454	0.00385	0.00241	0.00833	0.00147	0.00462	0.00832	0.00507	0.0007	0	0.00479	0	0.03723	0.00088	0.00221	0	0.00508	0	0.00025	0	0.00441	0	0.00647	0.02766	0.00339	0.00334	0.00494	0.00673	0.01148	0	0.02339	0.01015	0.00443	0.00106	0	0.05243	0.01038	0.0101	0.01139	0.00404	0.12777	0.03466	0.00143	0.00596	0.00548	0.00201	0.00376	0.00962	0.01463	0.01247	0.01661	0.01308	0.0045	0.00502	0.00276	0.00902	0.00534	0.00904	0.00535	0.00831	0.01088	0.00194	0.00226	0.00854	0.00521	0.01628	0.00033	0.00346	0.03528	0.00484	0.00803	0.00498	0.00694	0.00117
Enterorhabdus_caecimuris	0.11373	0.02893	0.15617	0.17631	0.09679	0.23056	0.20361	0.21525	0.15429	0.05611	0.16273	0.35952	0.10003	0.21429	0.1945	0.24741	0.15433	0.37685	1.05931	0.49681	0.2335	0.17372	0.55696	0.01886	0	0.00273	0.00125	0.03498	0.00421	0	0.01463	0.00886	0.04902	0.00958	0.01906	0.02988	0.06345	0.01596	0.01774	0.01452	0.00943	0.0053	0.00761	0.02921	0.0294	0.04358	0.01263	0.02818	0.01297	0.01333	0.06996	0.01412	0.01055	0.0369	0.00587	0.10516	0.00445	0.00292	0.00911	0.00976	0.00565	0.00712	0.0389	0.03219	0.01356	0.01289	0.01566	0.06389	0.01796	0.01151	0.02743	0.00537	0.00153	0.00399	0.02177	0.0174	0.03571	0.00531	0.00205	0.02237	0.00441	0.00514	0.00653	0.00906	0.05419	0.0259	0.05377	0.01784	0.08583	0.02633	0.02992	0.0427	0.05792	0.01334	0.03372	0.09041	0.02928	0.01453	0.02284	0.01103	0.03909	0.01294	0.08837	0.02256	0.02316	0.00648	0.01962	0.00961	0.01139	0.01468	0.02022	0.02577	0.06803	0.00268	0.00786	0.00846	0.01562	0.00937	0.04883	0.01228	0.02363	0.00085	0.01993	0.03342	0.01339	0.00665	0.0134	0.00775	0.13831	0.05657	0.00157	0.00986	0.00349	0.00515	0.01227	0.03824	0.04436	0.03904	0.01013	0.03207	0.01865	0.00373	0.00834	0.00815	0.01633	0.00414	0.00595	0.01	0.09325	0.03477	0.06292	0.02487	0.00958	0.03942	0.01751	0.12267	1.01574	0.05993	0.01174	0.04083	0.04501	0.03854
Gordonibacter_pamelaeae	0	0	0	0	0	0.0016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00536	0	0	0	0	0	0	0.00045	0.00034	0	0	0	0	0	0	0	0	0	0	0	0.00037	0	0	0	0	0	0	0	0.00591	0	0	0	0	0
